,city,country,lat,lon,temp,temp_max,temp_min,humidity,cloudness,wind
0,Saint Helena,SH,-15.9333,-5.7167,67.86,67.86,67.86,84,66,16.17
1,Tôlanaro,MG,-25.0333,47.0,78.8,78.8,78.8,89,40,6.91
2,Ushuaia,AR,-54.8,-68.3,51.8,51.8,51.8,76,40,4.61
3,Cabedelo,BR,-6.9667,-34.8333,77.0,77.0,77.0,88,20,3.44
4,Volovo,RU,52.0266,37.8854,30.15,30.15,30.15,98,100,17.85
5,Punta Arenas,CL,-53.15,-70.9167,53.29,53.6,53.01,71,90,11.5
6,Victoria,SC,-4.6167,55.45,77.0,77.0,77.0,94,20,2.3
7,Utuloa,WS,-13.4667,-172.6667,82.54,82.54,82.54,73,85,14.03
8,Khatanga,RU,71.9667,102.5,-35.14,-35.14,-35.14,82,98,13.11
9,Belaya Gora,RU,68.5333,146.4167,-33.9,-33.9,-33.9,82,100,3.47
10,Payakumbuh,ID,-0.2202,100.6308,72.19,72.19,72.19,84,87,1.83
11,Anadyr,RU,64.75,177.4833,-5.8,-5.8,-5.8,77,40,8.95
12,Rikitea,PF,-23.1203,-134.9692,77.76,77.76,77.76,76,92,12.82
13,Tabonuea Village,KI,3.0833,172.8167,81.77,81.77,81.77,78,76,17.96
14,Chokurdakh,RU,70.6333,147.9167,-25.47,-25.47,-25.47,86,100,6.46
15,Cape Town,ZA,-33.9258,18.4232,68.9,71.01,66.99,78,0,11.5
16,Cidreira,BR,-30.1833,-50.2,70.63,70.63,70.63,72,29,15.05
17,Taltal,CL,-25.4,-70.4833,63.93,63.93,63.93,74,37,1.72
18,Yellowknife,CA,62.45,-114.35,12.06,12.2,12.0,92,75,9.22
19,Bonthe,SL,7.5264,-12.505,77.54,77.54,77.54,87,0,3.76
20,Dikson,RU,73.5069,80.5464,-29.36,-29.36,-29.36,84,0,7.58
21,Aleksandrov Gay,RU,50.147,48.5704,20.79,20.79,20.79,96,100,22.91
22,Yelch - New Village,PW,7.3575,134.5578,84.2,84.2,84.2,79,90,8.05
23,San Policarpo,PH,12.1791,125.5072,83.05,83.05,83.05,73,17,7.65
24,Ribeira Grande,PT,38.5167,-28.7,62.87,62.87,62.87,85,71,17.72
25,Ittoqqortoormiit,GL,70.4833,-21.9667,25.03,25.03,25.03,94,99,2.59
26,Mahébourg,MU,-20.4081,57.7,77.0,77.0,77.0,88,75,6.91
27,Safotu,WS,-13.4333,-172.3333,80.29,80.6,80.01,89,75,20.71
28,Avarua,CK,-21.2078,-159.775,86.0,86.0,86.0,70,90,19.57
29,Tuktoyaktuk,CA,69.45,-133.0667,-13.0,-13.0,-13.0,84,75,4.61
30,Sivas,TR,39.7483,37.0161,30.2,30.2,30.2,100,75,2.57
31,Talnakh,RU,69.4865,88.3972,-27.49,-27.49,-27.49,77,1,8.34
32,Saint-Pierre,PM,46.7667,-56.1833,33.85,33.85,33.85,92,98,7.56
33,Nikolayevsk-on-Amur,RU,53.1406,140.73,-6.77,-6.77,-6.77,86,100,5.1
34,Solnechnyy,RU,60.4167,137.5,-32.4,-32.4,-32.4,83,71,1.14
35,Murotsu,JP,33.2833,134.15,51.8,51.8,51.8,54,20,2.3
36,Kapaa,US,22.0783,-159.3219,75.27,77.0,73.99,78,20,19.57
37,Mersing,MY,2.4312,103.8405,78.8,78.8,78.8,83,40,6.91
38,Tiksi,RU,71.6872,128.8694,-33.66,-33.66,-33.66,84,80,3.67
39,Ust'-Kut,RU,56.7938,105.7672,-11.92,-11.92,-11.92,84,100,7.23
40,Libreville,GA,0.3833,9.45,73.4,73.4,73.4,100,20,2.3
41,Busselton,AU,-33.6525,115.3455,69.85,71.01,68.0,45,89,7.0
42,Quryq,KZ,43.2,51.65,44.47,44.47,44.47,61,94,39.17
43,Arraial do Cabo,BR,-22.9667,-42.0167,75.22,75.22,75.22,90,45,18.66
44,Istria,RO,44.5667,28.7167,32.99,34.0,32.0,100,75,10.36
45,Kavaratti,IN,10.5667,72.6167,79.61,79.61,79.61,74,100,4.25
46,Mutoko,ZW,-17.4,32.2167,64.08,64.08,64.08,100,100,5.86
47,Qaanaaq,GL,77.3025,-68.8425,-1.62,-1.62,-1.62,80,25,1.63
48,Urochishche Kelyuke,RU,68.9333,-179.5,-4.18,-4.18,-4.18,92,100,12.3
49,San Quintín,MX,30.4833,-115.95,59.97,59.97,59.97,45,0,4.29
50,Pangnirtung,CA,66.1333,-65.75,-7.62,-7.62,-7.62,76,91,0.63
51,Guerrero Negro,MX,27.9769,-114.0611,60.19,60.19,60.19,53,0,10.6
52,Rabocheostrovsk,RU,65.027,35.7068,-4.77,-4.77,-4.77,91,100,7.54
53,Bargaal,SO,11.2833,51.0833,71.42,71.42,71.42,73,3,10.33
54,Hamilton city,BM,32.2942,-64.7839,63.21,64.99,60.8,82,75,2.3
55,Albany,AU,-35.0031,117.866,66.2,66.2,66.2,52,75,17.27
56,Dongsheng,CN,39.8161,109.9776,28.22,28.22,28.22,61,100,13.82
57,Grootfontein,NA,-19.5667,18.1167,66.29,66.29,66.29,89,100,4.94
58,Zaysan,KZ,47.4667,84.8667,-5.01,-5.01,-5.01,90,100,2.08
59,Ulcinj,ME,41.9283,19.2064,33.37,41.0,21.99,44,0,8.05
60,Naze,JP,28.3667,129.4833,62.6,62.6,62.6,55,75,10.36
61,Hobart,AU,-42.8832,147.3317,70.36,73.99,68.0,40,75,5.75
62,Tasiilaq,GL,65.6,-37.6333,32.0,32.0,32.0,86,75,28.77
63,Anito,PH,12.4497,125.2886,84.04,84.04,84.04,72,27,8.66
64,Cap Malheureux,MU,-19.9842,57.6142,79.0,79.0,79.0,78,6,4.0
65,Yakeshi,CN,49.2833,120.7333,-16.35,-16.35,-16.35,85,32,2.64
66,Bethel,US,60.7922,-161.7558,11.48,12.2,10.4,92,90,3.44
67,Peace River,CA,56.2333,-117.2833,30.2,30.2,30.2,55,20,23.02
68,Ixtapa,MX,17.6667,-101.65,78.82,78.82,78.82,61,81,5.66
69,Port Alfred,ZA,-33.5906,26.891,66.99,66.99,66.99,97,100,1.99
70,Anua,PF,-23.3667,-149.4667,75.85,75.85,75.85,84,1,12.62
71,Husavik,IS,66.05,-17.35,39.2,39.2,39.2,70,90,8.05
72,Angoram,PG,-4.0667,144.0667,89.76,89.76,89.76,63,97,4.79
73,Meulaboh,ID,4.1363,96.1285,81.52,81.52,81.52,65,74,2.48
74,Viedma,AR,-40.8135,-62.9967,66.99,66.99,66.99,66,100,23.38
75,North Side,AI,18.2167,-63.05,75.31,77.0,73.99,83,40,10.36
76,Nybyen,SJ,78.0667,14.2333,17.6,17.6,17.6,86,75,8.05
77,Hermanus,ZA,-34.4187,19.2345,71.01,71.01,71.01,85,82,3.0
78,Panguna,PG,-6.8333,155.7333,90.59,90.59,90.59,53,92,10.58
79,Cravo Norte,CO,6.3017,-70.2042,76.62,76.62,76.62,77,76,5.21
80,Bluff,NZ,-46.6,168.3333,61.88,61.88,61.88,78,13,5.59
81,Tsiombe,MG,-25.3,45.4833,75.16,75.16,75.16,94,20,5.37
82,Boksitogorsk,RU,59.4741,33.8485,-5.8,-5.8,-5.8,89,100,7.56
83,Corner Brook,CA,48.95,-57.9333,28.24,28.4,28.0,86,90,3.44
84,Kalmunai,LK,7.4167,81.8167,77.16,77.16,77.16,88,99,0.92
85,Bālurghāt,IN,25.2167,88.7667,61.12,61.12,61.12,43,0,4.09
86,East London,ZA,-33.0111,27.91,72.88,72.88,72.88,92,100,13.24
87,Qaanaaq,GL,77.4894,-69.3322,-3.35,-3.35,-3.35,78,0,4.07
88,Beringovskiy,RU,63.05,179.3167,-10.79,-10.79,-10.79,89,100,9.33
89,Cherskiy,RU,68.75,161.3,-23.08,-23.08,-23.08,86,100,4.32
90,Tuatapere,NZ,-46.1333,167.6833,64.74,64.74,64.74,72,42,8.3
91,Lebu,CL,-37.6167,-73.65,54.19,54.19,54.19,87,0,15.84
